40532,33742,32459,12240
16890,32374,40902,19244
20289,10667,43287,48364
57178,47957,28743,46296
45668,21717,55014,29824
25609,22031,36051,23335
19920,26734,24766,25316
29605,44878,11261,33376
12778,11206,10041,44488
42768,24316,29917,21312
55541,27127,46703,13847
15779,26546,32792,40822
45423,33238,46088,46880
10880,46050,39996,31284
30552,24314,45975,34072
13913,37896,28516,28457
12085,31063,40428,14710
26123,56879,23245,33272
31368,49557,26177,56700
26759,27127,46703,35431
20886,57376,47822,36654
54147,41018,38075,32666
53119,18775,46886,29871
37688,34680,35024,27330
48312,26052,23445,38889
22880,47550,10467,26440
19798,32384,12020,56684
15304,19915,57517,12044
21500,32556,23200,36786
45697,38399,44152,36605
47228,56195,23466,44669
13399,18103,20545,15682
13369,15674,44752,49725
32555,56883,48268,46849
41560,11382,49971,12267
20543,21561,11816,40494
16343,55929,35544,53231
48687,36084,46976,48253
12255,32736,27313,31872
13329,55643,40203,45051
40473,53797,52870,15411
31368,11736,22427,18614
26602,18551,41412,41553
37412,20637,22917,28556
40245,18524,49599,41521
10576,36024,15828,37750
35842,52872,14923,39824
28268,51613,40436,24271
35076,16360,52954,33851
11257,38501,39789,18271
35037,55436,41190,16702
24588,52392,27924,13711
48208,18005,13932,14729
15183,41582,55618,30687
50495,17646,56410,51610
33937,39694,45250,53635
49015,20592,10162,17091
14899,37377,24988,24085
32638,13948,29047,20179
42915,54502,28743,48971
13952,50655,48513,40202
15713,45226,31453,55064
31828,48533,56542,15000
28466,16695,49971,25316
46164,37304,46628,52500
30892,18425,52043,33605
47493,48264,28711,11013
45843,42373,26505,56923
56810,32669,46806,48971
51770,52813,12267,45113
24835,37924,55430,38025
20253,42288,32358,44947
13452,53151,44827,20006
39808,12003,54945,52683
47308,15160,18283,39209
20193,25383,25300,48712
47756,29886,16488,22170
49582,36595,46703,16033
21608,45631,46641,27209
30593,46285,51150,56358
42245,31832,23234,18862
27494,52851,29052,46967
37411,21228,27692,37148
21494,29915,49584,44255
29984,12799,29964,53844
29042,23003,38987,56783
58134,35675,24766,12143
22338,33069,48151,23805
10561,30650,41873,16817
26722,38929,57076,54649
21754,33944,55869,19555
20280,19660,13425,57536
29095,36024,15828,51084
33177,29709,36309,39493
39013,14743,50586,30943
12469,48031,13929,35448
44785,46693,27709,51886
26918,37534,27045,44375
28610,52905,16119,52113
41289,30715,42665,55739
18987,46865,46810,40550
44370,37786,12978,17653
17656,39947,25248,57008
28322,20122,33836,26359
49085,15375,53427,38122
23794,32427,13526,51893
50119,46854,45463,30719
43457,22453,56164,24545
43166,34739,38987,12958
57917,55154,50942,36273
52245,11822,47858,20107
28462,33162,35913,25467
31887,42865,57201,56719
28599,44737,13177,51058
36830,39447,27842,43924
57371,39088,16170,19496
37957,16420,10475,20310
24877,42783,25122,35325
54128,38123,12088,43212
21853,44780,51903,51599
11011,14662,36309,33517
43841,31063,33579,38983
35091,56202,56338,44931
41215,42668,16480,20685
30356,31878,37393,24122
42642,19242,53244,50942
17769,12457,11112,23192
37405,31036,41093,23176
22947,15160,32465,24132
49656,32132,52870,16884
26341,34531,57499,24164
41650,52599,42562,26629
43475,51800,14415,53083
52871,23004,51184,30622
44515,13468,32637,29467
14311,37191,36991,26089
20377,53965,51667,26457
10705,45896,50792,47984
13953,24316,29917,10342
34039,13036,52036,40460
46610,55783,47737,34270
24312,47105,15893,56383
20276,18799,18940,33648
39938,50078,40377,46697
42604,10277,45395,44552
47415,50795,28427,14904
53989,39962,57972,52432
29423,46284,39550,12160
28882,48585,44965,41064
32442,50535,43030,49800
36052,35836,43156,18395
42192,39631,43156,13572
41141,12435,30178,25417
50298,25415,14432,26781
12998,13677,51334,30541
49695,29709,36309,56563
14933,50216,40282,39352
19658,34161,21566,43364
14308,22983,49087,25467
45238,23293,19600,24704
52488,10126,51743,28850
40520,22249,47500,52388
40042,21237,13526,30235
40871,54788,24559,13591
24752,41151,54430,23130
27838,39066,27280,20613
16767,46284,39550,37007
48705,36080,51007,19921
31968,57335,33579,57772
49755,32489,15764,56923
50548,16520,43026,16281
19077,21364,31431,21398
26735,14828,52043,53206
12925,15030,52870,40381
17852,29506,54237,32642
56743,11761,39047,53323
14870,32957,39147,53749
22483,30200,12555,35613
31094,31879,19896,30366
35185,49976,49128,34159
41537,42222,31644,32405
42264,50078,40377,55025
22283,31711,27783,34774
25885,54987,57542,12160
50565,50489,50129,50024
53533,12486,12623,45927
20881,36560,16697,41309
51116,22020,21837,20188
10997,35737,34083,39224
13960,52934,44620,29824
28509,15375,53427,24915
18580,37984,39047,46291
35051,12694,23108,34188
22887,37468,14923,46436
50789,45551,56564,39208
43027,45663,11328,45588
22881,47836,47330,40190
42100,14345,12267,57396
30266,26555,44975,28302
25753,41742,51926,46646
55927,14362,44270,25706
20041,38501,12267,11692
57032,35930,36485,17573
53425,37984,57035,38819
15907,12133,31442,51893
45940,12592,23335,21816
48941,31063,47679,50949
51127,49188,15555,33150
13890,40538,21282,44530
37930,12969,44504,41256
31746,18005,13932,51332
17820,52998,51926,19498
12802,54406,50516,34655
29935,37375,15795,48594
20907,41028,37582,16350
54916,46527,38443,52018
23210,41742,51926,17647
30190,51780,33579,24994
18639,22633,22724,26837
48693,23674,43267,53847
54246,22796,10041,55518
48360,57025,12578,19363
40329,42896,56383,46183
13864,16520,20091,22170
50939,16597,56129,37316
45096,15172,44382,10621
27757,47143,24572,42864
32084,25587,47226,27067
27772,52267,35318,42743
24118,26331,52772,25905
44069,30284,12772,15374
25230,10505,38473,48874
45451,42306,41851,45241
36642,50001,51447,28953
20712,27226,45395,27859
28233,16815,24132,38944
19043,28919,53966,33906
