28704,35836,43156,47568
18818,57962,15529,51334
35971,36349,10733,46849
30016,21631,18541,51908
17212,31550,48996,50586
21369,47307,49834,23196
44196,23584,49747,37069
11895,14849,52870,24560
47038,54315,30577,46025
20808,12157,50773,53011
20664,22184,26890,22167
42494,21719,39486,53388
50084,51203,31229,54560
43843,27734,57318,34523
33120,23506,10475,15687
36971,40389,38626,48701
35416,13219,20043,15157
47986,11242,10268,16918
20535,16203,11500,51926
13066,35466,31595,33579
33178,41857,35024,10556
13151,31036,41093,16685
39662,47111,17738,27390
39387,16548,50927,41942
29453,21894,12965,23035
18716,36749,19954,42393
31622,19078,14505,40958
25826,54496,56841,23043
26983,18508,12821,50516
38502,11142,38443,16070
28590,42480,34235,31790
57538,40264,22724,13499
38903,15877,13177,38666
46892,12419,45113,45355
40391,42196,26737,42436
34445,14743,50586,33677
52920,20305,48637,33506
17394,13042,35024,23137
56734,54921,29553,33288
15259,16421,38122,11534
32517,49056,12671,38846
50737,22544,24511,26761
46861,34213,34556,16070
25434,27125,41392,45654
45953,39519,28241,18382
48505,48723,31774,57753
15957,57007,11361,17719
49661,45896,13429,13760
36523,34916,44270,43829
43821,29709,36309,21278
25099,31112,53799,47912
26414,30650,41873,43601
38229,11540,11112,43910
35143,10763,32109,31082
28595,22815,22724,50280
13565,29025,42282,39072
50318,10194,13342,10060
50627,24037,17410,40876
32399,18425,46703,56380
26953,27497,20467,41873
22760,48264,31813,19285
38855,18853,28689,37831
15767,56886,34861,40750
20640,40264,22724,16780
43319,48585,30328,14091
50109,45715,32704,17120
34016,34186,53545,52198
13508,26362,36494,45455
37018,26595,17160,41377
36596,34769,18285,39712
19388,11578,18141,21257
54428,29540,43107,22242
14666,41909,54958,51556
48604,34154,18937,21857
37295,14602,18283,40163
36387,38601,51556,15556
24378,12457,11112,44747
33188,28883,27119,11919
36639,50812,35024,17379
22013,49332,44255,49700
46838,51025,12020,36815
55180,24739,49687,48417
40578,29328,46552,31935
45012,13395,24171,37663
47978,54377,32926,47226
34631,17056,27904,50927
35105,38415,52388,41259
33586,33581,47044,34239
33645,16836,49935,38943
12777,17338,10475,45783
36397,45717,39208,51678
50497,17934,33880,38122
39230,17114,50558,19523
29419,19242,10268,46463
53133,46596,52043,23481
45375,11242,10268,53126
53172,40810,52043,17379
32134,47836,47330,43440
34993,36046,33610,52772
55804,32085,35613,26417
50888,43550,39155,46224
16037,11874,12267,51643
42542,51813,13129,19910
46941,47016,10268,54693
39273,11954,35431,29089
